control_id,key_control,control_title,risk_theme,risk_subtheme
CTRL-2025-15050,Yes,Transaction Monitoring Ruleset,Third-Party Vendor,General
CTRL-2025-91966,Yes,Transaction Monitoring Ruleset,Technology Change,Change Collision
CTRL-2025-45479,No,Privileged Access Review,Model Risk,Use-Case Misalignment
CTRL-2025-19154,Yes,Vendor SLA Monitoring,Fraud & Financial Crime,Card-Not-Present
CTRL-2025-31194,No,Privileged Access Review,Regulatory Compliance,MiFID II Breach
CTRL-2025-17785,Yes,Model Performance Backtesting,Cybersecurity,Phishing
CTRL-2025-76776,No,Daily Reconciliation Review,Fraud & Financial Crime,Check Fraud
CTRL-2025-21779,Yes,Release Change Approval,Model Risk,Use-Case Misalignment
CTRL-2025-87949,Yes,Vendor SLA Monitoring,Conduct & Culture,Inappropriate Communication
CTRL-2025-46958,Yes,Vendor SLA Monitoring,Third-Party Vendor,General
CTRL-2025-71874,Yes,Release Change Approval,Model Risk,Concept Drift
CTRL-2025-88604,Yes,Daily Reconciliation Review,Regulatory Compliance,Record Retention
CTRL-2025-33309,Yes,Disaster Recovery Drill,Fraud & Financial Crime,Check Fraud
CTRL-2025-43711,No,Disaster Recovery Drill,Model Risk,Calibration Error
CTRL-2025-97205,Yes,Daily Reconciliation Review,AML Sanctions,General
CTRL-2025-84802,No,Sanctions Screening Tuning,Cybersecurity,Data Breach
CTRL-2025-88100,No,Model Performance Backtesting,Cybersecurity,Ransomware
CTRL-2025-69716,Yes,Transaction Monitoring Ruleset,Fraud & Financial Crime,Check Fraud
CTRL-2025-27391,Yes,Sanctions Screening Tuning,Operational Resilience,Disaster Recovery
CTRL-2025-54034,Yes,Daily Reconciliation Review,Fraud & Financial Crime,Account Takeover
CTRL-2025-46514,No,Transaction Monitoring Ruleset,Third-Party Vendor,General
CTRL-2025-77103,Yes,Transaction Monitoring Ruleset,Model Risk,Calibration Error
CTRL-2025-38578,Yes,Sanctions Screening Tuning,Fraud & Financial Crime,Internal Fraud
CTRL-2025-67680,Yes,Model Performance Backtesting,Fraud & Financial Crime,Account Takeover
CTRL-2025-99634,No,Sanctions Screening Tuning,Technology Change,Change Collision
CTRL-2025-24505,Yes,Transaction Monitoring Ruleset,Regulatory Compliance,Reporting Error
CTRL-2025-74731,No,Daily Reconciliation Review,Regulatory Compliance,MiFID II Breach
CTRL-2025-12672,No,Vendor SLA Monitoring,Cybersecurity,Phishing
CTRL-2025-54764,No,Privileged Access Review,Regulatory Compliance,MiFID II Breach
CTRL-2025-16875,No,Daily Reconciliation Review,Operational Resilience,BCP Gap
CTRL-2025-86151,No,Disaster Recovery Drill,Operational Resilience,Single Point of Failure
CTRL-2025-25580,No,Transaction Monitoring Ruleset,Operational Resilience,BCP Gap
CTRL-2025-20639,Yes,Vendor SLA Monitoring,Fraud & Financial Crime,Internal Fraud
CTRL-2025-27297,No,Sanctions Screening Tuning,Data Quality  Integrity,General
CTRL-2025-37599,Yes,KYC Periodic Refresh,Fraud & Financial Crime,Card-Not-Present
CTRL-2025-38695,No,Privileged Access Review,Data Quality  Integrity,General
CTRL-2025-72522,Yes,KYC Periodic Refresh,AML Sanctions,General
CTRL-2025-44213,Yes,Vendor SLA Monitoring,Operational Resilience,Capacity/Scaling
CTRL-2025-34053,Yes,Disaster Recovery Drill,Third-Party Vendor,General
CTRL-2025-84365,No,Daily Reconciliation Review,Data Quality  Integrity,General
CTRL-2025-76784,No,Daily Reconciliation Review,Technology Change,Config Drift
CTRL-2025-10026,No,Vendor SLA Monitoring,Data Quality  Integrity,General
CTRL-2025-24336,Yes,Model Performance Backtesting,Conduct & Culture,Conflicts of Interest
CTRL-2025-83943,Yes,Transaction Monitoring Ruleset,AML Sanctions,General
CTRL-2025-17967,Yes,Daily Reconciliation Review,Technology Change,Config Drift
CTRL-2025-26399,No,Sanctions Screening Tuning,Regulatory Compliance,KYC/CDD Gap
CTRL-2025-48227,No,Release Change Approval,AML Sanctions,General
