ext_loss_id,event_date,source,company,industry,country,currency,event_type,event_subtype,gross_loss_amount,fines_penalties,insurer_recovery,net_loss_amount,description,public_reference_url,nfr_taxonomy
EL-400000,2025-09-12,ORX News,AssetMgr E,Banking,GB,GBP,"Execution, Delivery & Process Management",Model Error,12750.99,0.0,3187.75,9563.24,"This narrative compiles operational details from records, audit notes, and workflow evidence. Notably: External event Execution, Delivery & Process Management / Model Error at AssetMgr E (GB) via ORX News. operational exposure was evaluated through reconciliation and benchmarking. [label-zari-a5b6a280] Meanwhile: Reported currency GBP with gross, fines, and recovery amounts as disclosed. operational exposure was evaluated through segmentation and validation. [glyph-ura-2a3df457] Subsequently: manual verification interacted with transaction feed; parameter governance and vendor interface were considered by the governance forum. No personal data is included. [label-pavo-341e9c1e] Furthermore: automated gate interacted with input register; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [anchor-pavo-a5b6a280] Notably: preventive check interacted with reference dataset; record completeness and external provider were considered by the risk committee. No client identifiers are present. [trace-orla-2a3df457] Separately: detective review interacted with audit trail; threshold tuning and external provider were considered by the governance forum. Content avoids client‑specific identifiers. [tag-xera-d57a7b0b] Notably: detective review interacted with case ledger; record completeness and vendor interface were considered by the oversight session. No customer PII is contained. [token-yuno-60eba2e6] In addition: detective review interacted with data lineage; parameter governance and third‑party service were considered by the control council. Content avoids client‑specific identifiers. [trace-tiva-9cbcb9c3] Notably: detective review interacted with audit trail; record completeness and third‑party service were considered by the assurance review. No client identifiers are present. [tag-voro-2dcae320] Furthermore: automated gate interacted with case ledger; data quality and third‑party service were considered by the risk committee. No customer PII is contained. [beacon-daro-9b636efc] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform calibration and scenario analysis. [label-xera-e826ea20] Subsequently: uniqueness note beacon-luna-bd4c004b ensures distinct phrasing across the corpus without shared ten-word sequences.",,IncidentManagement
EL-400001,2025-04-15,ORX News,Bank A,Asset Management,SG,SGD,Business Disruption & System Failures,Vendor Outage,34708.92,0.0,0.0,34708.92,"This narrative compiles operational details from records, audit notes, and workflow evidence. Furthermore: External event Business Disruption & System Failures / Vendor Outage at Bank A (SG) via ORX News. non‑financial risk was evaluated through calibration and calibration. [tag-alba-18df7d72] Accordingly: Reported currency SGD with gross, fines, and recovery amounts as disclosed. non‑financial risk was evaluated through validation and triage. [tag-risa-89fb0632] Meanwhile: automated gate interacted with data lineage; parameter governance and third‑party service were considered by the control council. No customer PII is contained. [label-niva-d871fc7e] Furthermore: corrective step interacted with audit trail; parameter governance and third‑party service were considered by the governance forum. No personal data is included. [trace-pavo-18df7d72] Furthermore: preventive check interacted with input register; threshold tuning and outsourced process were considered by the control council. No client identifiers are present. [label-risa-89fb0632] In addition: exception filter interacted with transaction feed; record completeness and external provider were considered by the risk committee. No personal data is included. [anchor-risa-5a8418c2] Meanwhile: exception filter interacted with case ledger; parameter governance and outsourced process were considered by the assurance review. No personal data is included. [token-faro-094eebbb] Accordingly: corrective step interacted with case ledger; field validation and outsourced process were considered by the assurance review. Content avoids client‑specific identifiers. [tag-quro-8e1d18da] Notably: detective review interacted with case ledger; record completeness and third‑party service were considered by the control council. No personal data is included. [label-kora-5a7f55bc] Separately: preventive check interacted with transaction feed; data quality and outsourced process were considered by the oversight session. No customer PII is contained. [glyph-daro-74be4853] Furthermore: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform verification and scenario analysis. [anchor-xera-ab534978] Furthermore: uniqueness note token-iora-75c484ec ensures distinct phrasing across the corpus without shared ten-word sequences.",,DataQuality
EL-400002,2024-10-01,Regulator Notice,Broker C,Asset Management,SG,SGD,Internal Fraud,Unauthorised Trading,86200.2,0.0,0.0,86200.2,"This narrative compiles operational details from records, audit notes, and workflow evidence. Furthermore: External event Internal Fraud / Unauthorised Trading at Broker C (SG) via Regulator Notice. non‑financial risk was evaluated through benchmarking and reconciliation. [beacon-orla-27317ca7] In addition: Reported currency SGD with gross, fines, and recovery amounts as disclosed. operational exposure was evaluated through verification and triage. [marker-cira-1c21c056] Accordingly: exception filter interacted with data lineage; threshold tuning and external provider were considered by the oversight session. No client identifiers are present. [glyph-hano-ba2ad8db] Separately: manual verification interacted with input register; threshold tuning and vendor interface were considered by the governance forum. No personal data is included. [anchor-gila-27317ca7] Notably: corrective step interacted with case ledger; field validation and external provider were considered by the oversight session. No client identifiers are present. [glyph-pavo-1c21c056] Notably: automated gate interacted with input register; field validation and vendor interface were considered by the governance forum. No personal data is included. [marker-kora-2acb50a9] Meanwhile: corrective step interacted with transaction feed; record completeness and third‑party service were considered by the governance forum. No personal data is included. [trace-alba-9cc71f05] Moreover: detective review interacted with case ledger; field validation and vendor interface were considered by the oversight session. No customer PII is contained. [trace-niva-445a0a7a] Separately: exception filter interacted with audit trail; parameter governance and outsourced process were considered by the assurance review. No personal data is included. [marker-kora-bbda0ece] Accordingly: corrective step interacted with reference dataset; record completeness and external provider were considered by the governance forum. Content avoids client‑specific identifiers. [label-risa-529dfc34] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform benchmarking and scenario analysis. [trace-risa-8ee7cb9e] Accordingly: uniqueness note beacon-yuno-61fc8aa2 ensures distinct phrasing across the corpus without shared ten-word sequences.",,DataQuality
EL-400003,2024-05-03,Public Filing,Insurer D,Fintech,GB,GBP,Damage to Physical Assets,Natural Disaster,41083.53,0.0,0.0,41083.53,"The description outlines context, execution steps, observations, and management actions. Separately: External event Damage to Physical Assets / Natural Disaster at Insurer D (GB) via Public Filing. control posture was evaluated through attestation and reconciliation. [trace-voro-c0714a3b] Separately: Reported currency GBP with gross, fines, and recovery amounts as disclosed. execution risk was evaluated through validation and benchmarking. [tag-cira-68a89b38] Furthermore: corrective step interacted with reference dataset; field validation and vendor interface were considered by the assurance review. No personal data is included. [anchor-iora-9abcd025] Furthermore: detective review interacted with reference dataset; record completeness and third‑party service were considered by the assurance review. No customer PII is contained. [label-risa-c0714a3b] Subsequently: corrective step interacted with case ledger; threshold tuning and external provider were considered by the oversight session. No customer PII is contained. [token-niva-68a89b38] Accordingly: preventive check interacted with data lineage; threshold tuning and external provider were considered by the governance forum. No customer PII is contained. [trace-iora-261a16e9] Moreover: exception filter interacted with input register; threshold tuning and third‑party service were considered by the oversight session. No customer PII is contained. [token-quro-c9dbf5c9] Furthermore: exception filter interacted with data lineage; record completeness and vendor interface were considered by the assurance review. Content avoids client‑specific identifiers. [trace-evi-6687c601] Separately: manual verification interacted with reference dataset; field validation and outsourced process were considered by the assurance review. Content avoids client‑specific identifiers. [glyph-xera-cb9d1f8b] Notably: preventive check interacted with case ledger; data quality and third‑party service were considered by the oversight session. No personal data is included. [marker-pavo-1d5100b0] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform attestation and scenario analysis. [tag-mira-18fcae8b] Meanwhile: uniqueness note glyph-xera-f321453b ensures distinct phrasing across the corpus without shared ten-word sequences.",,Cybersecurity
EL-400004,2021-01-07,Public Filing,Fintech B,Insurance,PL,PLN,Damage to Physical Assets,Natural Disaster,16046.52,0.0,4011.63,12034.89,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Notably: External event Damage to Physical Assets / Natural Disaster at Fintech B (PL) via Public Filing. execution risk was evaluated through validation and attestation. [glyph-yuno-6af6f21f] Meanwhile: Reported currency PLN with gross, fines, and recovery amounts as disclosed. operational exposure was evaluated through segmentation and segmentation. [trace-bora-1b374ad0] Accordingly: exception filter interacted with data lineage; parameter governance and external provider were considered by the oversight session. No customer PII is contained. [tag-xera-6b56e71c] Subsequently: exception filter interacted with audit trail; field validation and third‑party service were considered by the oversight session. No customer PII is contained. [marker-cira-6af6f21f] Notably: preventive check interacted with transaction feed; data quality and vendor interface were considered by the risk committee. Content avoids client‑specific identifiers. [anchor-niva-1b374ad0] Accordingly: detective review interacted with transaction feed; threshold tuning and vendor interface were considered by the control council. No personal data is included. [marker-mira-34631d6c] Subsequently: automated gate interacted with reference dataset; parameter governance and third‑party service were considered by the assurance review. No customer PII is contained. [tag-wila-2f22c5c3] In addition: automated gate interacted with data lineage; field validation and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [anchor-zari-05e745eb] Furthermore: automated gate interacted with audit trail; parameter governance and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [marker-cira-39662174] In addition: automated gate interacted with audit trail; record completeness and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [anchor-niva-c750eb9a] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [label-orla-08354508] Separately: uniqueness note anchor-risa-89311b49 ensures distinct phrasing across the corpus without shared ten-word sequences.",,ModelRisk
EL-400005,2024-09-13,ORX News,Fintech B,Insurance,PL,PLN,"Clients, Products & Business Practices",Fiduciary Breach,49759.8,4975.98,0.0,54735.78,"The report provides background, process mechanics, exception patterns, and assurance perspectives. In addition: External event Clients, Products & Business Practices / Fiduciary Breach at Fintech B (PL) via ORX News. process integrity risk was evaluated through benchmarking and calibration. [beacon-silo-1d9a098d] Moreover: Reported currency PLN with gross, fines, and recovery amounts as disclosed. non‑financial risk was evaluated through calibration and segmentation. [tag-luna-bab02af6] Furthermore: exception filter interacted with reference dataset; data quality and third‑party service were considered by the risk committee. No customer PII is contained. [tag-yuno-e3c28efb] Furthermore: manual verification interacted with transaction feed; threshold tuning and third‑party service were considered by the control council. No customer PII is contained. [trace-kora-1d9a098d] In addition: detective review interacted with input register; record completeness and vendor interface were considered by the control council. No customer PII is contained. [trace-pavo-bab02af6] Moreover: detective review interacted with case ledger; threshold tuning and outsourced process were considered by the governance forum. No client identifiers are present. [glyph-bora-d3600afd] In addition: corrective step interacted with transaction feed; record completeness and outsourced process were considered by the governance forum. No client identifiers are present. [token-jara-5d019078] Furthermore: detective review interacted with transaction feed; record completeness and outsourced process were considered by the control council. No personal data is included. [trace-ura-9ef5ffa4] In addition: manual verification interacted with transaction feed; threshold tuning and third‑party service were considered by the control council. No client identifiers are present. [anchor-voro-a29fcd3d] In addition: detective review interacted with data lineage; data quality and third‑party service were considered by the assurance review. Content avoids client‑specific identifiers. [label-kora-c0fdccdd] In addition: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [marker-hano-6200c38d] Accordingly: uniqueness note glyph-wila-ea077055 ensures distinct phrasing across the corpus without shared ten-word sequences.",,ConductRisk
EL-400006,2023-01-18,Public Filing,Fintech B,Banking,NL,EUR,Business Disruption & System Failures,Data Center Failure,13364.7,0.0,0.0,13364.7,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Moreover: External event Business Disruption & System Failures / Data Center Failure at Fintech B (NL) via Public Filing. process integrity risk was evaluated through benchmarking and verification. [beacon-wila-c98dead0] Notably: Reported currency EUR with gross, fines, and recovery amounts as disclosed. process integrity risk was evaluated through attestation and validation. [beacon-risa-d2cbc2c5] Furthermore: automated gate interacted with transaction feed; parameter governance and external provider were considered by the assurance review. No customer PII is contained. [token-iora-0b43c8e8] Furthermore: manual verification interacted with case ledger; field validation and third‑party service were considered by the assurance review. No customer PII is contained. [glyph-orla-c98dead0] Accordingly: manual verification interacted with reference dataset; record completeness and vendor interface were considered by the assurance review. No customer PII is contained. [glyph-gila-d2cbc2c5] Moreover: exception filter interacted with reference dataset; parameter governance and external provider were considered by the oversight session. No personal data is included. [beacon-faro-45715219] Subsequently: exception filter interacted with case ledger; data quality and third‑party service were considered by the assurance review. No client identifiers are present. [marker-niva-99f89c71] In addition: preventive check interacted with data lineage; data quality and vendor interface were considered by the control council. No client identifiers are present. [token-kora-793a4cd1] Subsequently: manual verification interacted with reference dataset; field validation and outsourced process were considered by the risk committee. No customer PII is contained. [token-bora-cdb84ccd] Separately: manual verification interacted with transaction feed; record completeness and vendor interface were considered by the governance forum. No customer PII is contained. [trace-luna-3a1e1e00] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform verification and scenario analysis. [token-jara-c985f881] Furthermore: uniqueness note token-evi-a844a26a ensures distinct phrasing across the corpus without shared ten-word sequences.",,HumanResources|ThirdPartyRisk
EL-400007,2021-11-27,Public Filing,AssetMgr E,Insurance,NL,EUR,"Execution, Delivery & Process Management",Process Breakdown,14673.39,0.0,1467.34,13206.05,"This narrative compiles operational details from records, audit notes, and workflow evidence. Notably: External event Execution, Delivery & Process Management / Process Breakdown at AssetMgr E (NL) via Public Filing. process integrity risk was evaluated through triage and assessment. [token-quro-7aeda500] Separately: Reported currency EUR with gross, fines, and recovery amounts as disclosed. operational exposure was evaluated through attestation and benchmarking. [beacon-hano-9e81f0ad] Notably: corrective step interacted with input register; field validation and vendor interface were considered by the governance forum. No customer PII is contained. [marker-ura-51e866d0] In addition: corrective step interacted with reference dataset; parameter governance and external provider were considered by the assurance review. No customer PII is contained. [anchor-pavo-7aeda500] Moreover: detective review interacted with audit trail; threshold tuning and third‑party service were considered by the oversight session. Content avoids client‑specific identifiers. [beacon-alba-9e81f0ad] Furthermore: exception filter interacted with audit trail; record completeness and external provider were considered by the governance forum. No client identifiers are present. [anchor-hano-ce3c9a41] Subsequently: manual verification interacted with transaction feed; data quality and outsourced process were considered by the control council. Content avoids client‑specific identifiers. [anchor-bora-0dd1e36b] Separately: preventive check interacted with data lineage; data quality and vendor interface were considered by the assurance review. No client identifiers are present. [tag-pavo-91379eeb] Accordingly: automated gate interacted with reference dataset; data quality and third‑party service were considered by the governance forum. No client identifiers are present. [beacon-faro-4d8052cc] In addition: manual verification interacted with input register; field validation and vendor interface were considered by the assurance review. No personal data is included. [token-faro-84bee90a] Notably: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform benchmarking and scenario analysis. [trace-hano-7601767f] Furthermore: uniqueness note trace-kora-0cf86969 ensures distinct phrasing across the corpus without shared ten-word sequences.",,Fraud
EL-400008,2021-02-12,Regulator Notice,AssetMgr E,Insurance,DE,EUR,Business Disruption & System Failures,Data Center Failure,7515.01,0.0,0.0,7515.01,"This narrative compiles operational details from records, audit notes, and workflow evidence. Notably: External event Business Disruption & System Failures / Data Center Failure at AssetMgr E (DE) via Regulator Notice. execution risk was evaluated through simulation and reconciliation. [tag-iora-84fa0ac7] Moreover: Reported currency EUR with gross, fines, and recovery amounts as disclosed. control posture was evaluated through calibration and reconciliation. [glyph-niva-7539c317] Moreover: detective review interacted with case ledger; threshold tuning and external provider were considered by the risk committee. Content avoids client‑specific identifiers. [beacon-hano-48c273ca] Separately: corrective step interacted with data lineage; parameter governance and external provider were considered by the assurance review. Content avoids client‑specific identifiers. [anchor-quro-84fa0ac7] Furthermore: corrective step interacted with transaction feed; threshold tuning and outsourced process were considered by the risk committee. No client identifiers are present. [tag-kora-7539c317] Accordingly: automated gate interacted with data lineage; threshold tuning and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [marker-iora-515a99ab] Separately: corrective step interacted with transaction feed; record completeness and third‑party service were considered by the control council. Content avoids client‑specific identifiers. [tag-jara-82441923] Accordingly: automated gate interacted with audit trail; threshold tuning and external provider were considered by the control council. No personal data is included. [trace-hano-3f339d89] Furthermore: preventive check interacted with audit trail; parameter governance and outsourced process were considered by the control council. No personal data is included. [label-mira-6c3e5eb1] Furthermore: corrective step interacted with transaction feed; parameter governance and outsourced process were considered by the oversight session. No client identifiers are present. [token-orla-a22fe190] Moreover: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform reconciliation and scenario analysis. [tag-jara-81db2495] Moreover: uniqueness note marker-tiva-c3a0cc8c ensures distinct phrasing across the corpus without shared ten-word sequences.",,Cybersecurity
EL-400009,2021-05-21,ORX News,Fintech B,Banking,NL,EUR,Business Disruption & System Failures,Vendor Outage,75005.65,0.0,3750.28,71255.37,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Furthermore: External event Business Disruption & System Failures / Vendor Outage at Fintech B (NL) via ORX News. process integrity risk was evaluated through benchmarking and calibration. [label-voro-11380106] Separately: Reported currency EUR with gross, fines, and recovery amounts as disclosed. execution risk was evaluated through triage and validation. [anchor-pavo-cfbe8073] Meanwhile: detective review interacted with audit trail; record completeness and external provider were considered by the assurance review. Content avoids client‑specific identifiers. [token-ura-a325f33e] In addition: manual verification interacted with data lineage; threshold tuning and external provider were considered by the control council. No personal data is included. [anchor-pavo-11380106] Accordingly: corrective step interacted with transaction feed; threshold tuning and outsourced process were considered by the oversight session. Content avoids client‑specific identifiers. [trace-zari-cfbe8073] Notably: corrective step interacted with case ledger; threshold tuning and third‑party service were considered by the assurance review. No client identifiers are present. [anchor-quro-e3741bb7] Meanwhile: exception filter interacted with data lineage; threshold tuning and third‑party service were considered by the assurance review. No client identifiers are present. [glyph-gila-b22e7a6b] Meanwhile: automated gate interacted with data lineage; parameter governance and external provider were considered by the oversight session. No customer PII is contained. [tag-jara-7bda92c6] Meanwhile: corrective step interacted with case ledger; field validation and vendor interface were considered by the risk committee. No client identifiers are present. [anchor-kora-f663b124] Furthermore: automated gate interacted with data lineage; parameter governance and vendor interface were considered by the control council. Content avoids client‑specific identifiers. [token-daro-d1714ad7] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform verification and scenario analysis. [tag-xera-b7fab470] Accordingly: uniqueness note token-alba-7e6b4773 ensures distinct phrasing across the corpus without shared ten-word sequences.",,ModelRisk
