event_id,event_title,event_type,risk_theme,risk_subtheme
INT-2025-89945,System Outage: Breach queue exception,System Outage,AML Sanctions,General
INT-2025-64477,Compliance Breach: Customer breach migration,Compliance Breach,Conduct & Culture,Sales Practice
INT-2025-98564,Theft or Fraud: Batch exception migration,Theft or Fraud,Model Risk,Validation Finding
INT-2025-67264,Theft or Fraud: Latency threshold workflow,Theft or Fraud,Conduct & Culture,Sales Practice
INT-2025-56306,Information Security Incident: Reference latency control,Information Security Incident,Fraud & Financial Crime,Check Fraud
INT-2025-35586,Information Security Incident: Dataset latency policy,Information Security Incident,Data Quality  Integrity,General
INT-2025-16841,Information Security Incident: Workflow control gateway,Information Security Incident,Fraud & Financial Crime,Check Fraud
INT-2025-32717,Theft or Fraud: Gateway reconciliation misconfiguration,Theft or Fraud,Data Quality  Integrity,General
INT-2025-38530,Data Entry Error: Override queue migration,Data Entry Error,Technology Change,Release Regression
INT-2025-71052,Theft or Fraud: Validation payment onboarding,Theft or Fraud,Data Quality  Integrity,General
INT-2025-22246,System Outage: Automated control policy,System Outage,Cybersecurity,Phishing
INT-2025-69128,Information Security Incident: Reconciliation payment validation,Information Security Incident,AML Sanctions,General
INT-2025-74717,Processing Error: Latency security payment,Processing Error,Operational Resilience,BCP Gap
INT-2025-62219,Theft or Fraud: Batch control override,Theft or Fraud,Fraud & Financial Crime,Card-Not-Present
INT-2025-83735,Processing Error: Reconciliation security migration,Processing Error,Operational Resilience,BCP Gap
INT-2025-82015,Compliance Breach: Customer security queue,Compliance Breach,Conduct & Culture,Conflicts of Interest
INT-2025-61814,Information Security Incident: Latency payment customer,Information Security Incident,Operational Resilience,Capacity/Scaling
INT-2025-97232,Data Entry Error: Policy misconfiguration threshold,Data Entry Error,Technology Change,Release Regression
INT-2025-34077,System Outage: Migration gateway exception,System Outage,Operational Resilience,Capacity/Scaling
INT-2025-52860,Compliance Breach: Migration manual workflow,Compliance Breach,Data Quality  Integrity,General
INT-2025-30460,Data Entry Error: Migration dataset threshold,Data Entry Error,Cybersecurity,Phishing
INT-2025-91015,Information Security Incident: Manual onboarding threshold,Information Security Incident,Model Risk,Validation Finding
INT-2025-73736,Data Entry Error: Exception misconfiguration policy,Data Entry Error,Fraud & Financial Crime,Account Takeover
INT-2025-92760,Processing Error: Retry reference manual,Processing Error,AML Sanctions,General
INT-2025-82168,Data Entry Error: Misconfiguration spike integration,Data Entry Error,Regulatory Compliance,MiFID II Breach
INT-2025-15579,System Outage: Alert batch spike,System Outage,Conduct & Culture,Sales Practice
INT-2025-33219,Theft or Fraud: Workflow latency automated,Theft or Fraud,Regulatory Compliance,KYC/CDD Gap
INT-2025-23535,System Outage: Integration dataset dataset,System Outage,Third-Party Vendor,General
INT-2025-22793,Compliance Breach: Timeout alert workflow,Compliance Breach,Conduct & Culture,Sales Practice
INT-2025-44940,Theft or Fraud: Customer latency workflow,Theft or Fraud,Regulatory Compliance,Reporting Error
INT-2025-81784,Theft or Fraud: Threshold latency integration,Theft or Fraud,Technology Change,Config Drift
INT-2025-10013,Compliance Breach: Timeout validation retry,Compliance Breach,Third-Party Vendor,General
INT-2025-73494,Processing Error: Security spike retry,Processing Error,Regulatory Compliance,Record Retention
INT-2025-61192,Compliance Breach: Breach timeout gateway,Compliance Breach,Cybersecurity,Unauthorized Access
INT-2025-98593,Data Entry Error: Timeout validation latency,Data Entry Error,Regulatory Compliance,Reporting Error
INT-2025-68641,Theft or Fraud: Breach control latency,Theft or Fraud,AML Sanctions,General
INT-2025-93458,Processing Error: Timeout reconciliation queue,Processing Error,AML Sanctions,General
INT-2025-56049,Compliance Breach: Alert policy investigation,Compliance Breach,Regulatory Compliance,MiFID II Breach
INT-2025-90463,Processing Error: Onboarding workflow policy,Processing Error,Technology Change,Failed Deployment
INT-2025-58374,Theft or Fraud: Automated misconfiguration manual,Theft or Fraud,Regulatory Compliance,Reporting Error
INT-2025-25834,Information Security Incident: Automated integration manual,Information Security Incident,Conduct & Culture,Insider Trading
INT-2025-60835,Information Security Incident: Onboarding threshold spike,Information Security Incident,Data Quality  Integrity,General
INT-2025-73337,Compliance Breach: Timeout reconciliation investigation,Compliance Breach,Regulatory Compliance,Record Retention
INT-2025-50940,Compliance Breach: Misconfiguration threshold batch,Compliance Breach,Conduct & Culture,Insider Trading
INT-2025-54939,System Outage: Retry alert investigation,System Outage,Regulatory Compliance,KYC/CDD Gap
INT-2025-85218,Theft or Fraud: Dataset onboarding breach,Theft or Fraud,Fraud & Financial Crime,Account Takeover
INT-2025-40580,Compliance Breach: Dataset migration migration,Compliance Breach,Third-Party Vendor,General
INT-2025-75049,Processing Error: Manual payment manual,Processing Error,Third-Party Vendor,General
INT-2025-68325,System Outage: Threshold gateway manual,System Outage,Operational Resilience,Capacity/Scaling
INT-2025-64301,Information Security Incident: Validation reference policy,Information Security Incident,Model Risk,Validation Finding
INT-2025-21010,Compliance Breach: Payment reference policy,Compliance Breach,Conduct & Culture,Sales Practice
