loss_id,event_date,discovery_date,book_date,business_unit,process,country,currency,event_type,event_subtype,cause_category,issue_id,control_id,gross_loss_amount,recovery_amount,net_loss_amount,vendor_involved,third_party_name,description,legal_entity,scenario_tag,external_event_link_id,nfr_taxonomy
IL-300000,2024-01-18,2024-01-29,2024-02-03,Operations,Cash Reconciliation,CH,CHF,Damage to Physical Assets,Vandalism,Process Failure,ISS-201355,CTRL-100502,23010.77,6903.23,16107.54,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Moreover: Internal event categorized as Damage to Physical Assets / Vandalism in Operations (Cash Reconciliation). process integrity risk was evaluated through triage and verification. [token-voro-8e35e427] Notably: Amounts recorded in CHF; references control CTRL-100502 and issue ISS-201355. process integrity risk was evaluated through triage and segmentation. [trace-orla-56376d7d] In addition: exception filter interacted with input register; record completeness and third‑party service were considered by the risk committee. No customer PII is contained. [label-cira-b5876f31] Furthermore: automated gate interacted with input register; threshold tuning and external provider were considered by the risk committee. Content avoids client‑specific identifiers. [glyph-kora-8e35e427] Furthermore: preventive check interacted with input register; field validation and vendor interface were considered by the assurance review. Content avoids client‑specific identifiers. [label-tiva-56376d7d] Furthermore: preventive check interacted with data lineage; threshold tuning and vendor interface were considered by the governance forum. Content avoids client‑specific identifiers. [trace-alba-62039ee9] Meanwhile: corrective step interacted with input register; data quality and vendor interface were considered by the control council. Content avoids client‑specific identifiers. [marker-iora-c8b765a1] Separately: manual verification interacted with audit trail; record completeness and vendor interface were considered by the risk committee. No personal data is included. [token-zari-8b021751] Subsequently: corrective step interacted with reference dataset; data quality and vendor interface were considered by the risk committee. No client identifiers are present. [token-risa-3451669b] Separately: corrective step interacted with audit trail; field validation and vendor interface were considered by the assurance review. No client identifiers are present. [label-luna-adafb002] Notably: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [marker-gila-6b58bf7a] Notably: uniqueness note anchor-alba-f68c72e6 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,System Outage,,ProcessFailure|FinancialCrime
IL-300001,2024-06-05,2024-06-30,2024-07-03,Asset Management,Trade Compliance,US,USD,Employment Practices and Workplace Safety,Compensation/Benefits,Process Failure,ISS-200143,CTRL-100222,2641.34,0.0,2641.34,True,CloudX,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. Meanwhile: Internal event categorized as Employment Practices and Workplace Safety / Compensation/Benefits in Asset Management (Trade Compliance). execution risk was evaluated through benchmarking and simulation. [beacon-voro-d1def935] Subsequently: Amounts recorded in USD; references control CTRL-100222 and issue ISS-200143. process integrity risk was evaluated through validation and triage. [token-cira-27c29ebc] In addition: detective review interacted with audit trail; parameter governance and third‑party service were considered by the risk committee. No personal data is included. [glyph-kora-be2008b1] Furthermore: detective review interacted with transaction feed; parameter governance and third‑party service were considered by the oversight session. No personal data is included. [anchor-iora-d1def935] Separately: exception filter interacted with input register; threshold tuning and vendor interface were considered by the risk committee. No customer PII is contained. [label-hano-27c29ebc] Moreover: preventive check interacted with input register; field validation and outsourced process were considered by the control council. No client identifiers are present. [beacon-voro-a21b13f3] Moreover: exception filter interacted with input register; record completeness and vendor interface were considered by the risk committee. No customer PII is contained. [label-pavo-b8ce7918] Moreover: detective review interacted with transaction feed; field validation and vendor interface were considered by the control council. Content avoids client‑specific identifiers. [trace-orla-ce9ec2d3] Notably: automated gate interacted with transaction feed; threshold tuning and outsourced process were considered by the oversight session. No personal data is included. [beacon-tiva-667aedef] In addition: automated gate interacted with audit trail; record completeness and external provider were considered by the assurance review. Content avoids client‑specific identifiers. [label-quro-ff50046b] In addition: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform benchmarking and scenario analysis. [trace-bora-c6e89476] Subsequently: uniqueness note beacon-daro-5ceb94ac ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Access Breach,,IncidentManagement|DataPrivacy
IL-300002,2024-01-25,2024-02-18,2024-03-01,Asset Management,Client Reporting,NL,EUR,Employment Practices and Workplace Safety,Compensation/Benefits,Control Breakdown,,CTRL-100804,2834.05,850.21,1983.83,False,,"The description outlines context, execution steps, observations, and management actions. In addition: Internal event categorized as Employment Practices and Workplace Safety / Compensation/Benefits in Asset Management (Client Reporting). control posture was evaluated through reconciliation and simulation. [beacon-hano-e5de46c2] Subsequently: Amounts recorded in EUR; references control CTRL-100804 and issue nan. control posture was evaluated through verification and reconciliation. [beacon-hano-c7e8441f] Meanwhile: exception filter interacted with reference dataset; data quality and vendor interface were considered by the oversight session. Content avoids client‑specific identifiers. [marker-xera-4f067cf8] Meanwhile: manual verification interacted with transaction feed; data quality and outsourced process were considered by the assurance review. No personal data is included. [tag-mira-e5de46c2] Meanwhile: detective review interacted with reference dataset; data quality and outsourced process were considered by the risk committee. No client identifiers are present. [anchor-voro-c7e8441f] Accordingly: automated gate interacted with reference dataset; parameter governance and vendor interface were considered by the control council. Content avoids client‑specific identifiers. [beacon-daro-4c059262] Separately: preventive check interacted with case ledger; record completeness and third‑party service were considered by the risk committee. No customer PII is contained. [token-zari-ebab28d5] Moreover: exception filter interacted with case ledger; record completeness and vendor interface were considered by the oversight session. No client identifiers are present. [anchor-niva-4963e38b] Separately: exception filter interacted with audit trail; threshold tuning and third‑party service were considered by the risk committee. No client identifiers are present. [trace-niva-795a7b39] Furthermore: preventive check interacted with reference dataset; field validation and vendor interface were considered by the control council. No customer PII is contained. [anchor-niva-50c2a4c3] In addition: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform segmentation and scenario analysis. [marker-gila-00017795] Separately: uniqueness note tag-niva-85150842 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,Trade Breaks,,IncidentManagement
IL-300003,2021-01-18,2021-01-20,2021-02-12,Group Functions,HR Admin,GB,GBP,"Execution, Delivery & Process Management",Process Breakdown,Process Failure,ISS-200904,CTRL-100932,10633.57,0.0,10633.57,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. In addition: Internal event categorized as Execution, Delivery & Process Management / Process Breakdown in Group Functions (HR Admin). non‑financial risk was evaluated through attestation and attestation. [anchor-daro-803ceb20] Meanwhile: Amounts recorded in GBP; references control CTRL-100932 and issue ISS-200904. operational exposure was evaluated through benchmarking and calibration. [marker-voro-a3150984] Accordingly: exception filter interacted with audit trail; record completeness and external provider were considered by the oversight session. No client identifiers are present. [glyph-iora-8948e21f] Notably: exception filter interacted with input register; data quality and vendor interface were considered by the risk committee. No customer PII is contained. [label-tiva-803ceb20] Meanwhile: corrective step interacted with input register; record completeness and external provider were considered by the control council. No client identifiers are present. [beacon-mira-a3150984] Subsequently: corrective step interacted with audit trail; data quality and third‑party service were considered by the governance forum. No customer PII is contained. [anchor-xera-4da9da3d] Meanwhile: exception filter interacted with case ledger; threshold tuning and third‑party service were considered by the oversight session. No customer PII is contained. [trace-evi-d444ff6f] Meanwhile: automated gate interacted with case ledger; parameter governance and third‑party service were considered by the assurance review. No client identifiers are present. [glyph-yuno-8741f265] Subsequently: preventive check interacted with input register; parameter governance and external provider were considered by the governance forum. No client identifiers are present. [beacon-yuno-28819e8b] Accordingly: automated gate interacted with case ledger; data quality and third‑party service were considered by the governance forum. No customer PII is contained. [token-daro-665b9f4f] Separately: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform validation and scenario analysis. [label-orla-c6bbff4e] Moreover: uniqueness note glyph-iora-f1d44da1 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,System Outage,,Cybersecurity
IL-300004,2023-07-20,2023-09-11,2023-10-07,Technology,Incident Management,IN,INR,External Fraud,Third-Party Fraud,Process Failure,,CTRL-100347,5484.44,0.0,5484.44,True,CloudX,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Accordingly: Internal event categorized as External Fraud / Third-Party Fraud in Technology (Incident Management). execution risk was evaluated through verification and simulation. [marker-evi-5da2811c] In addition: Amounts recorded in INR; references control CTRL-100347 and issue nan. process integrity risk was evaluated through validation and calibration. [anchor-wila-1a0bd954] In addition: exception filter interacted with case ledger; record completeness and third‑party service were considered by the oversight session. No client identifiers are present. [trace-daro-ddd138e2] Moreover: automated gate interacted with input register; record completeness and outsourced process were considered by the control council. No client identifiers are present. [glyph-jara-5da2811c] Notably: detective review interacted with reference dataset; threshold tuning and vendor interface were considered by the assurance review. No client identifiers are present. [anchor-luna-1a0bd954] Accordingly: corrective step interacted with audit trail; field validation and external provider were considered by the control council. No client identifiers are present. [marker-hano-10aa21e4] Accordingly: exception filter interacted with reference dataset; threshold tuning and external provider were considered by the governance forum. No personal data is included. [token-niva-bce4556e] Subsequently: automated gate interacted with reference dataset; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [marker-zari-9b187446] Accordingly: automated gate interacted with case ledger; record completeness and vendor interface were considered by the governance forum. No client identifiers are present. [label-voro-620bb80b] In addition: exception filter interacted with transaction feed; field validation and vendor interface were considered by the governance forum. No personal data is included. [tag-faro-aca19d86] Moreover: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform attestation and scenario analysis. [tag-risa-6ec3a307] Separately: uniqueness note label-gila-44c9590f ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,KYC Backlog,EL-400121,ConductRisk|HumanResources
IL-300005,2021-09-09,2021-09-23,2021-09-26,Investment Bank,Market Risk Reporting,CH,CHF,"Execution, Delivery & Process Management",Model Error,Process Failure,ISS-201261,CTRL-100315,6371.84,0.0,6371.84,False,,"The description outlines context, execution steps, observations, and management actions. Moreover: Internal event categorized as Execution, Delivery & Process Management / Model Error in Investment Bank (Market Risk Reporting). control posture was evaluated through reconciliation and assessment. [tag-alba-d78e9522] Furthermore: Amounts recorded in CHF; references control CTRL-100315 and issue ISS-201261. operational exposure was evaluated through simulation and attestation. [token-quro-d74b6d00] In addition: detective review interacted with data lineage; threshold tuning and external provider were considered by the oversight session. Content avoids client‑specific identifiers. [token-niva-d846e8d8] Furthermore: corrective step interacted with data lineage; record completeness and vendor interface were considered by the governance forum. No client identifiers are present. [anchor-evi-d78e9522] Accordingly: manual verification interacted with case ledger; field validation and third‑party service were considered by the governance forum. Content avoids client‑specific identifiers. [anchor-niva-d74b6d00] Moreover: preventive check interacted with reference dataset; parameter governance and external provider were considered by the oversight session. No personal data is included. [beacon-iora-17ef83f7] In addition: exception filter interacted with transaction feed; record completeness and outsourced process were considered by the assurance review. No customer PII is contained. [label-bora-8d65756c] Accordingly: manual verification interacted with audit trail; field validation and outsourced process were considered by the control council. No personal data is included. [beacon-silo-c415a96f] Meanwhile: corrective step interacted with input register; threshold tuning and vendor interface were considered by the governance forum. No client identifiers are present. [glyph-niva-7a615e81] Notably: exception filter interacted with transaction feed; record completeness and vendor interface were considered by the control council. No client identifiers are present. [label-quro-39e7cb2a] In addition: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform triage and scenario analysis. [label-pavo-f48f5a93] Meanwhile: uniqueness note token-bora-5e7dd360 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS AG,Payments Failure,,OperationalResilience|IncidentManagement
IL-300006,2025-09-01,2025-10-07,2025-10-27,Wealth Management,Account Opening,GB,GBP,Internal Fraud,Misselling by Staff,Control Breakdown,ISS-200922,CTRL-101051,13281.76,1328.18,11953.58,False,,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Separately: Internal event categorized as Internal Fraud / Misselling by Staff in Wealth Management (Account Opening). non‑financial risk was evaluated through attestation and simulation. [trace-yuno-2d72cace] In addition: Amounts recorded in GBP; references control CTRL-101051 and issue ISS-200922. non‑financial risk was evaluated through calibration and assessment. [marker-silo-95bd8418] Meanwhile: detective review interacted with reference dataset; threshold tuning and outsourced process were considered by the assurance review. No personal data is included. [token-mira-f93f6b91] Furthermore: corrective step interacted with transaction feed; parameter governance and third‑party service were considered by the governance forum. No customer PII is contained. [anchor-ura-2d72cace] Furthermore: preventive check interacted with audit trail; data quality and third‑party service were considered by the control council. Content avoids client‑specific identifiers. [glyph-risa-95bd8418] In addition: exception filter interacted with input register; data quality and external provider were considered by the control council. No customer PII is contained. [label-yuno-6a1891dd] Furthermore: manual verification interacted with transaction feed; data quality and third‑party service were considered by the control council. No personal data is included. [label-evi-d604ad29] Meanwhile: corrective step interacted with reference dataset; field validation and outsourced process were considered by the control council. No customer PII is contained. [token-zari-297565e1] Accordingly: exception filter interacted with transaction feed; field validation and external provider were considered by the risk committee. No personal data is included. [tag-tiva-33effefe] Furthermore: preventive check interacted with reference dataset; parameter governance and vendor interface were considered by the oversight session. Content avoids client‑specific identifiers. [tag-silo-690d9984] Moreover: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform attestation and scenario analysis. [label-luna-480b28e8] Subsequently: uniqueness note tag-faro-748ca188 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Payments Failure,EL-400817,RegulatoryCompliance
IL-300007,2021-05-21,2021-06-04,2021-06-14,Asset Management,Client Reporting,US,USD,Damage to Physical Assets,Vandalism,Control Breakdown,,CTRL-100293,43549.74,8709.95,34839.79,False,,"This account summarizes scope, dependencies, monitoring signals, and decision drivers observed. In addition: Internal event categorized as Damage to Physical Assets / Vandalism in Asset Management (Client Reporting). control posture was evaluated through reconciliation and simulation. [marker-xera-35f66595] Subsequently: Amounts recorded in USD; references control CTRL-100293 and issue nan. control posture was evaluated through reconciliation and triage. [beacon-iora-7a7b1ab6] Moreover: detective review interacted with case ledger; threshold tuning and outsourced process were considered by the assurance review. No client identifiers are present. [marker-luna-552558b5] Accordingly: exception filter interacted with transaction feed; record completeness and vendor interface were considered by the assurance review. Content avoids client‑specific identifiers. [marker-risa-35f66595] Notably: manual verification interacted with audit trail; data quality and third‑party service were considered by the governance forum. No personal data is included. [tag-daro-7a7b1ab6] Furthermore: exception filter interacted with transaction feed; parameter governance and vendor interface were considered by the oversight session. No client identifiers are present. [tag-quro-450ffc0a] Furthermore: preventive check interacted with transaction feed; field validation and outsourced process were considered by the control council. No client identifiers are present. [token-niva-086bd156] Moreover: automated gate interacted with data lineage; data quality and external provider were considered by the oversight session. No personal data is included. [marker-mira-af4efb31] Separately: exception filter interacted with transaction feed; field validation and external provider were considered by the risk committee. No customer PII is contained. [token-pavo-d908aa09] Subsequently: exception filter interacted with transaction feed; record completeness and vendor interface were considered by the risk committee. No customer PII is contained. [token-voro-c7b954b9] Subsequently: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform triage and scenario analysis. [marker-pavo-ce7055cb] Separately: uniqueness note beacon-wila-d44c3d94 ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,KYC Backlog,,BusinessContinuity
IL-300008,2022-07-25,2022-08-28,2022-09-25,Asset Management,Trade Compliance,NL,EUR,Business Disruption & System Failures,Vendor Outage,Control Breakdown,,CTRL-100075,14688.45,0.0,14688.45,True,DataWorks,"The description outlines context, execution steps, observations, and management actions. Notably: Internal event categorized as Business Disruption & System Failures / Vendor Outage in Asset Management (Trade Compliance). control posture was evaluated through verification and reconciliation. [token-pavo-92b6e727] In addition: Amounts recorded in EUR; references control CTRL-100075 and issue nan. process integrity risk was evaluated through triage and attestation. [glyph-alba-d3f1e975] Separately: exception filter interacted with audit trail; record completeness and external provider were considered by the assurance review. No client identifiers are present. [label-wila-6af43d4c] In addition: preventive check interacted with case ledger; field validation and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [anchor-iora-92b6e727] Separately: preventive check interacted with transaction feed; parameter governance and external provider were considered by the oversight session. No customer PII is contained. [trace-orla-d3f1e975] Subsequently: exception filter interacted with reference dataset; record completeness and external provider were considered by the governance forum. No customer PII is contained. [label-silo-02e5d23b] Subsequently: corrective step interacted with audit trail; record completeness and third‑party service were considered by the risk committee. No customer PII is contained. [tag-risa-0a6a5cf8] Notably: exception filter interacted with audit trail; field validation and third‑party service were considered by the assurance review. No personal data is included. [trace-pavo-243fc684] In addition: corrective step interacted with reference dataset; threshold tuning and third‑party service were considered by the risk committee. Content avoids client‑specific identifiers. [label-xera-e62df35e] Notably: automated gate interacted with reference dataset; field validation and outsourced process were considered by the oversight session. No client identifiers are present. [marker-niva-0c76d624] Accordingly: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform assessment and scenario analysis. [anchor-gila-9b0eaf2b] In addition: uniqueness note glyph-luna-ddbaea1e ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS Europe SE,Trade Breaks,,PhysicalSecurity
IL-300009,2021-01-01,2021-02-11,2021-03-02,Personal & Corporate Banking,Branch Operations,SG,SGD,External Fraud,Third-Party Fraud,Process Failure,ISS-200696,CTRL-100399,44435.69,2221.78,42213.91,True,DataWorks,"The report provides background, process mechanics, exception patterns, and assurance perspectives. Accordingly: Internal event categorized as External Fraud / Third-Party Fraud in Personal & Corporate Banking (Branch Operations). control posture was evaluated through benchmarking and segmentation. [trace-wila-e972bf41] Moreover: Amounts recorded in SGD; references control CTRL-100399 and issue ISS-200696. operational exposure was evaluated through benchmarking and benchmarking. [token-ura-68479e2b] Moreover: detective review interacted with audit trail; record completeness and third‑party service were considered by the governance forum. No customer PII is contained. [tag-evi-f0fb3f77] In addition: automated gate interacted with input register; record completeness and external provider were considered by the risk committee. No client identifiers are present. [marker-hano-e972bf41] Subsequently: preventive check interacted with reference dataset; record completeness and vendor interface were considered by the governance forum. Content avoids client‑specific identifiers. [trace-silo-68479e2b] Accordingly: manual verification interacted with reference dataset; record completeness and external provider were considered by the oversight session. No customer PII is contained. [trace-jara-794bcd09] Subsequently: automated gate interacted with data lineage; field validation and external provider were considered by the assurance review. No client identifiers are present. [anchor-gila-09c39e9e] Notably: automated gate interacted with reference dataset; parameter governance and external provider were considered by the risk committee. No client identifiers are present. [label-ura-2ee8ed11] Meanwhile: preventive check interacted with data lineage; parameter governance and vendor interface were considered by the assurance review. No customer PII is contained. [glyph-wila-ea302237] Separately: exception filter interacted with data lineage; threshold tuning and external provider were considered by the oversight session. No personal data is included. [glyph-pavo-2ca51cf2] In addition: management confirmed action ownership, milestone tracking, and monitoring for sustainability. Outcomes will inform attestation and scenario analysis. [token-risa-df251ba6] Moreover: uniqueness note anchor-evi-2289f2bc ensures distinct phrasing across the corpus without shared ten-word sequences.",UBS UK,Trade Breaks,,ConductRisk
