issue_id,issues_type,issue_title,risk_theme,risk_subtheme
ISS-2025-50322,Incident Post-Mortem Action,Incident Post-Mortem Action: Timeout latency report gap – Pilot,AML Sanctions,General
ISS-2025-62263,Risk Assessment Action,Risk Assessment Action: Reference threshold feed gap,Technology Change,Config Drift
ISS-2025-56290,Regulatory Finding,Regulatory Finding: Alert investigation report gap,Fraud & Financial Crime,Internal Fraud
ISS-2025-89245,Regulatory Finding,Regulatory Finding: Onboarding latency report gap,AML Sanctions,General
ISS-2025-17055,Process Gap,Process Gap: Retry control control gap – v2,Conduct & Culture,Conflicts of Interest
ISS-2025-53724,Process Gap,Process Gap: Gateway spike report gap – v2,Cybersecurity,Ransomware
ISS-2025-38003,Incident Post-Mortem Action,Incident Post-Mortem Action: Batch migration report gap,Technology Change,Config Drift
ISS-2025-86514,Incident Post-Mortem Action,Incident Post-Mortem Action: Retry spike control gap,AML Sanctions,General
ISS-2025-84576,Incident Post-Mortem Action,Incident Post-Mortem Action: Queue investigation report gap,Conduct & Culture,Inappropriate Communication
ISS-2025-35148,Policy Exception,Policy Exception: Breach integration process gap – Phase 1,Operational Resilience,Single Point of Failure
ISS-2025-17334,Policy Exception,Policy Exception: Timeout reconciliation control gap (Interim),Conduct & Culture,Conflicts of Interest
ISS-2025-35103,Regulatory Finding,Regulatory Finding: Batch threshold report gap,Conduct & Culture,Conflicts of Interest
ISS-2025-61504,Regulatory Finding,Regulatory Finding: Security timeout process gap – Pilot,Regulatory Compliance,Record Retention
ISS-2025-92467,Incident Post-Mortem Action,Incident Post-Mortem Action: Dataset integration feed gap,AML Sanctions,General
ISS-2025-51304,Policy Exception,Policy Exception: Retry spike feed gap – v2,Data Quality  Integrity,General
ISS-2025-59834,Process Gap,Process Gap: Dataset reference feed gap,Technology Change,Failed Deployment
ISS-2025-54891,Risk Assessment Action,Risk Assessment Action: Customer override control gap – Phase 1,Regulatory Compliance,MiFID II Breach
ISS-2025-14868,Regulatory Finding,Regulatory Finding: Retry security feed gap,Fraud & Financial Crime,Internal Fraud
ISS-2025-37848,Process Gap,Process Gap: Control gateway process gap (Remediation),Model Risk,Use-Case Misalignment
ISS-2025-87458,Audit Finding,Audit Finding: Timeout payment process gap,Data Quality  Integrity,General
ISS-2025-95105,Audit Finding,Audit Finding: Automated latency control gap,Cybersecurity,Data Breach
ISS-2025-94906,Regulatory Finding,Regulatory Finding: Investigation automated process gap (Interim),AML Sanctions,General
ISS-2025-13284,Regulatory Finding,Regulatory Finding: Breach alert report gap,Cybersecurity,Data Breach
ISS-2025-92603,Risk Assessment Action,Risk Assessment Action: Payment latency control gap,Technology Change,Failed Deployment
ISS-2025-42182,Risk Assessment Action,Risk Assessment Action: Spike payment feed gap,Third-Party Vendor,General
ISS-2025-19683,Process Gap,Process Gap: Policy reconciliation feed gap (Interim),Cybersecurity,Data Breach
ISS-2025-17759,Risk Assessment Action,Risk Assessment Action: Policy threshold feed gap (Interim),Fraud & Financial Crime,Card-Not-Present
ISS-2025-64306,Risk Assessment Action,Risk Assessment Action: Migration integration report gap – Phase 1,Model Risk,Validation Finding
ISS-2025-17415,Audit Finding,Audit Finding: Batch policy control gap,Operational Resilience,Capacity/Scaling
ISS-2025-75108,Audit Finding,Audit Finding: Override control feed gap – Phase 1,Fraud & Financial Crime,Card-Not-Present
ISS-2025-20542,Policy Exception,Policy Exception: Reconciliation payment process gap – v2,Regulatory Compliance,KYC/CDD Gap
ISS-2025-46899,Regulatory Finding,Regulatory Finding: Automated integration report gap – Pilot,Third-Party Vendor,General
ISS-2025-53328,Audit Finding,Audit Finding: Override misconfiguration report gap,Cybersecurity,Data Breach
ISS-2025-62206,Incident Post-Mortem Action,Incident Post-Mortem Action: Automated integration feed gap,Third-Party Vendor,General
ISS-2025-20799,Policy Exception,Policy Exception: Migration batch feed gap,Cybersecurity,Data Breach
ISS-2025-98281,Incident Post-Mortem Action,Incident Post-Mortem Action: Queue customer feed gap,Data Quality  Integrity,General
ISS-2025-96853,Policy Exception,Policy Exception: Latency gateway feed gap (Interim),Data Quality  Integrity,General
ISS-2025-71906,Regulatory Finding,Regulatory Finding: Misconfiguration threshold process gap – v2,Operational Resilience,Capacity/Scaling
ISS-2025-36842,Risk Assessment Action,Risk Assessment Action: Dataset queue process gap,Operational Resilience,BCP Gap
ISS-2025-26207,Process Gap,Process Gap: Batch automated process gap,Regulatory Compliance,KYC/CDD Gap
ISS-2025-62910,Risk Assessment Action,Risk Assessment Action: Batch queue feed gap,Operational Resilience,Disaster Recovery
ISS-2025-79509,Process Gap,Process Gap: Breach threshold process gap,Fraud & Financial Crime,Account Takeover
ISS-2025-15674,Policy Exception,Policy Exception: Workflow misconfiguration report gap,Cybersecurity,Ransomware
ISS-2025-14526,Audit Finding,Audit Finding: Misconfiguration payment report gap,Operational Resilience,Capacity/Scaling
ISS-2025-77816,Process Gap,Process Gap: Reconciliation reference report gap (Remediation),Data Quality  Integrity,General
ISS-2025-37225,Policy Exception,Policy Exception: Timeout reference feed gap,Cybersecurity,Data Breach
ISS-2025-87596,Risk Assessment Action,Risk Assessment Action: Security alert feed gap,Model Risk,Use-Case Misalignment
ISS-2025-94309,Regulatory Finding,Regulatory Finding: Investigation spike report gap – Pilot,Regulatory Compliance,Record Retention
ISS-2025-26910,Risk Assessment Action,Risk Assessment Action: Retry gateway process gap (Remediation),AML Sanctions,General
ISS-2025-82229,Risk Assessment Action,Risk Assessment Action: Latency alert report gap,Model Risk,Validation Finding
ISS-2025-23414,Policy Exception,Policy Exception: Alert alert feed gap,Cybersecurity,Unauthorized Access
ISS-2025-17263,Process Gap,Process Gap: Customer batch control gap,Cybersecurity,Ransomware
ISS-2025-90839,Incident Post-Mortem Action,Incident Post-Mortem Action: Integration security report gap,AML Sanctions,General
ISS-2025-90103,Audit Finding,Audit Finding: Security workflow report gap,Data Quality  Integrity,General
ISS-2025-67297,Risk Assessment Action,Risk Assessment Action: Spike retry feed gap,Technology Change,Failed Deployment
ISS-2025-34061,Process Gap,Process Gap: Reconciliation control process gap – v2,Technology Change,Change Collision
ISS-2025-93630,Incident Post-Mortem Action,Incident Post-Mortem Action: Security onboarding process gap – v2,Technology Change,Failed Deployment
ISS-2025-61554,Regulatory Finding,Regulatory Finding: Automated workflow process gap,Operational Resilience,Single Point of Failure
ISS-2025-47004,Policy Exception,Policy Exception: Manual manual report gap,Fraud & Financial Crime,Internal Fraud
ISS-2025-62948,Incident Post-Mortem Action,Incident Post-Mortem Action: Policy integration report gap,Conduct & Culture,Sales Practice
ISS-2025-81150,Process Gap,Process Gap: Control override feed gap,AML Sanctions,General
ISS-2025-79862,Risk Assessment Action,Risk Assessment Action: Integration workflow process gap,Regulatory Compliance,Record Retention
ISS-2025-54560,Incident Post-Mortem Action,Incident Post-Mortem Action: Exception migration feed gap (Interim),Operational Resilience,Capacity/Scaling
ISS-2025-32220,Audit Finding,Audit Finding: Gateway reference process gap – Pilot,Fraud & Financial Crime,Check Fraud
ISS-2025-24599,Audit Finding,Audit Finding: Gateway misconfiguration control gap,Conduct & Culture,Sales Practice
ISS-2025-22497,Process Gap,Process Gap: Queue reconciliation feed gap,Third-Party Vendor,General
ISS-2025-78414,Process Gap,Process Gap: Policy timeout control gap (Remediation),Cybersecurity,Phishing
ISS-2025-80527,Process Gap,Process Gap: Batch queue process gap – v2,AML Sanctions,General
ISS-2025-15296,Incident Post-Mortem Action,Incident Post-Mortem Action: Validation exception control gap – Phase 1,Operational Resilience,Single Point of Failure
ISS-2025-22680,Risk Assessment Action,Risk Assessment Action: Workflow workflow process gap (Interim),Cybersecurity,Ransomware
ISS-2025-78424,Audit Finding,Audit Finding: Breach onboarding control gap – Pilot,Model Risk,Concept Drift
ISS-2025-46137,Regulatory Finding,Regulatory Finding: Automated breach process gap,Technology Change,Failed Deployment
ISS-2025-78838,Risk Assessment Action,Risk Assessment Action: Reference onboarding feed gap – v2,Conduct & Culture,Conflicts of Interest
ISS-2025-69914,Audit Finding,Audit Finding: Queue misconfiguration feed gap,Operational Resilience,Disaster Recovery
ISS-2025-58170,Risk Assessment Action,Risk Assessment Action: Workflow policy process gap,Regulatory Compliance,Record Retention
ISS-2025-48998,Regulatory Finding,Regulatory Finding: Investigation onboarding process gap,Cybersecurity,Unauthorized Access
ISS-2025-80133,Regulatory Finding,Regulatory Finding: Investigation breach report gap – Pilot,Regulatory Compliance,MiFID II Breach
ISS-2025-72861,Audit Finding,Audit Finding: Exception customer report gap,AML Sanctions,General
ISS-2025-28848,Process Gap,Process Gap: Gateway customer report gap (Interim),AML Sanctions,General
ISS-2025-98638,Risk Assessment Action,Risk Assessment Action: Alert manual report gap,Operational Resilience,Capacity/Scaling
ISS-2025-92392,Process Gap,Process Gap: Retry manual report gap,Data Quality  Integrity,General
ISS-2025-58902,Risk Assessment Action,Risk Assessment Action: Queue migration feed gap – v2,Regulatory Compliance,Reporting Error
ISS-2025-34488,Process Gap,Process Gap: Customer automated report gap,Technology Change,Config Drift
ISS-2025-47817,Audit Finding,Audit Finding: Validation breach control gap,AML Sanctions,General
ISS-2025-26731,Regulatory Finding,Regulatory Finding: Onboarding reconciliation report gap,Technology Change,Release Regression
ISS-2025-60147,Incident Post-Mortem Action,Incident Post-Mortem Action: Reconciliation automated report gap,Conduct & Culture,Conflicts of Interest
ISS-2025-76777,Risk Assessment Action,Risk Assessment Action: Batch dataset report gap – Pilot,Data Quality  Integrity,General
ISS-2025-96012,Process Gap,Process Gap: Exception reference control gap,Data Quality  Integrity,General
ISS-2025-69201,Policy Exception,Policy Exception: Control exception feed gap,Fraud & Financial Crime,Card-Not-Present
ISS-2025-89828,Audit Finding,Audit Finding: Manual override control gap (Interim),Data Quality  Integrity,General
ISS-2025-92175,Process Gap,Process Gap: Payment spike report gap,Cybersecurity,Phishing
ISS-2025-79749,Incident Post-Mortem Action,Incident Post-Mortem Action: Latency spike report gap (Remediation),Operational Resilience,Capacity/Scaling
ISS-2025-93175,Risk Assessment Action,Risk Assessment Action: Integration dataset feed gap – v2,Operational Resilience,BCP Gap
ISS-2025-40565,Risk Assessment Action,Risk Assessment Action: Misconfiguration retry process gap (Interim),Model Risk,Use-Case Misalignment
ISS-2025-51745,Incident Post-Mortem Action,Incident Post-Mortem Action: Payment alert control gap (Interim),Data Quality  Integrity,General
ISS-2025-39060,Process Gap,Process Gap: Alert reference feed gap – v2,Cybersecurity,Ransomware
ISS-2025-14966,Risk Assessment Action,Risk Assessment Action: Threshold customer feed gap – Phase 1,Third-Party Vendor,General
ISS-2025-24701,Risk Assessment Action,Risk Assessment Action: Reconciliation control control gap,Fraud & Financial Crime,Check Fraud
ISS-2025-11237,Risk Assessment Action,Risk Assessment Action: Latency exception feed gap – Pilot,Model Risk,Calibration Error
ISS-2025-42790,Audit Finding,Audit Finding: Customer override control gap (Interim),Cybersecurity,Ransomware
ISS-2025-56940,Audit Finding,Audit Finding: Validation reference feed gap (Remediation),Fraud & Financial Crime,Account Takeover
ISS-2025-31367,Risk Assessment Action,Risk Assessment Action: Gateway customer process gap (Interim),Cybersecurity,Phishing
ISS-2025-45387,Risk Assessment Action,Risk Assessment Action: Integration onboarding feed gap – Phase 1,Operational Resilience,Disaster Recovery
ISS-2025-62486,Risk Assessment Action,Risk Assessment Action: Integration policy feed gap – v2,Data Quality  Integrity,General
ISS-2025-19547,Risk Assessment Action,Risk Assessment Action: Payment override report gap,Conduct & Culture,Conflicts of Interest
ISS-2025-78994,Audit Finding,Audit Finding: Validation integration control gap (Interim),Operational Resilience,Capacity/Scaling
ISS-2025-44319,Risk Assessment Action,Risk Assessment Action: Validation policy control gap – v2,Third-Party Vendor,General
ISS-2025-27685,Audit Finding,Audit Finding: Spike breach process gap (Remediation),Operational Resilience,Single Point of Failure
ISS-2025-75646,Policy Exception,Policy Exception: Payment exception feed gap – Pilot,Fraud & Financial Crime,Account Takeover
ISS-2025-52311,Policy Exception,Policy Exception: Alert batch process gap,Cybersecurity,Data Breach
ISS-2025-87781,Incident Post-Mortem Action,Incident Post-Mortem Action: Onboarding spike control gap – v2,Model Risk,Calibration Error
ISS-2025-25485,Regulatory Finding,Regulatory Finding: Security batch control gap,Regulatory Compliance,MiFID II Breach
ISS-2025-83561,Process Gap,Process Gap: Investigation gateway feed gap,AML Sanctions,General
ISS-2025-89314,Incident Post-Mortem Action,Incident Post-Mortem Action: Customer exception feed gap,Data Quality  Integrity,General
ISS-2025-28791,Process Gap,Process Gap: Customer dataset report gap,Operational Resilience,Capacity/Scaling
ISS-2025-70100,Process Gap,Process Gap: Workflow misconfiguration report gap,Data Quality  Integrity,General
ISS-2025-46072,Incident Post-Mortem Action,Incident Post-Mortem Action: Integration dataset process gap – v2,Technology Change,Release Regression
ISS-2025-26431,Audit Finding,Audit Finding: Customer validation process gap,Regulatory Compliance,Record Retention
ISS-2025-68366,Regulatory Finding,Regulatory Finding: Manual batch process gap,Technology Change,Config Drift
ISS-2025-45763,Policy Exception,Policy Exception: Validation automated feed gap,Regulatory Compliance,Record Retention
ISS-2025-96095,Audit Finding,Audit Finding: Customer override report gap – v2,Technology Change,Config Drift
ISS-2025-56216,Risk Assessment Action,Risk Assessment Action: Workflow security report gap – Pilot,AML Sanctions,General
ISS-2025-73881,Incident Post-Mortem Action,Incident Post-Mortem Action: Control integration report gap,Operational Resilience,BCP Gap
ISS-2025-41479,Incident Post-Mortem Action,Incident Post-Mortem Action: Customer latency control gap,AML Sanctions,General
ISS-2025-32406,Audit Finding,Audit Finding: Override timeout feed gap,Fraud & Financial Crime,Account Takeover
ISS-2025-14947,Audit Finding,Audit Finding: Automated breach report gap,AML Sanctions,General
ISS-2025-99677,Policy Exception,Policy Exception: Security spike report gap (Interim),Data Quality  Integrity,General
ISS-2025-67097,Process Gap,Process Gap: Control payment control gap (Interim),Operational Resilience,Single Point of Failure
ISS-2025-99191,Policy Exception,Policy Exception: Queue alert process gap (Interim),Fraud & Financial Crime,Check Fraud
ISS-2025-78861,Audit Finding,Audit Finding: Latency automated feed gap – v2,Cybersecurity,Ransomware
ISS-2025-72481,Risk Assessment Action,Risk Assessment Action: Alert timeout report gap,Model Risk,Concept Drift
ISS-2025-52059,Incident Post-Mortem Action,Incident Post-Mortem Action: Spike retry process gap,Regulatory Compliance,Record Retention
ISS-2025-36389,Audit Finding,Audit Finding: Migration batch report gap – Phase 1,Data Quality  Integrity,General
ISS-2025-75837,Audit Finding,Audit Finding: Timeout policy report gap,Fraud & Financial Crime,Check Fraud
ISS-2025-18967,Risk Assessment Action,Risk Assessment Action: Gateway queue report gap (Interim),Third-Party Vendor,General
ISS-2025-15689,Policy Exception,Policy Exception: Dataset spike report gap (Interim),Cybersecurity,Data Breach
ISS-2025-12063,Incident Post-Mortem Action,Incident Post-Mortem Action: Workflow control process gap (Interim),Cybersecurity,Data Breach
ISS-2025-39975,Process Gap,Process Gap: Gateway security feed gap,Fraud & Financial Crime,Account Takeover
ISS-2025-28768,Regulatory Finding,Regulatory Finding: Batch policy feed gap (Interim),Third-Party Vendor,General
ISS-2025-35579,Incident Post-Mortem Action,Incident Post-Mortem Action: Manual manual process gap,Data Quality  Integrity,General
ISS-2025-62482,Process Gap,Process Gap: Investigation validation feed gap,Operational Resilience,Capacity/Scaling
ISS-2025-73106,Audit Finding,Audit Finding: Workflow breach process gap,Fraud & Financial Crime,Card-Not-Present
ISS-2025-36585,Risk Assessment Action,Risk Assessment Action: Workflow validation control gap (Remediation),AML Sanctions,General
ISS-2025-22495,Policy Exception,Policy Exception: Timeout customer feed gap (Interim),Fraud & Financial Crime,Card-Not-Present
ISS-2025-55193,Process Gap,Process Gap: Threshold payment control gap – Phase 1,Cybersecurity,Ransomware
ISS-2025-15270,Risk Assessment Action,Risk Assessment Action: Timeout breach process gap (Remediation),Operational Resilience,Single Point of Failure
ISS-2025-24761,Process Gap,Process Gap: Onboarding workflow process gap,Fraud & Financial Crime,Check Fraud
ISS-2025-72361,Audit Finding,Audit Finding: Latency integration process gap – v2,Operational Resilience,BCP Gap
ISS-2025-26292,Risk Assessment Action,Risk Assessment Action: Onboarding timeout report gap,Conduct & Culture,Inappropriate Communication
ISS-2025-46930,Policy Exception,Policy Exception: Reference timeout control gap – Pilot,Operational Resilience,Single Point of Failure
ISS-2025-43475,Regulatory Finding,Regulatory Finding: Security override report gap,Data Quality  Integrity,General
ISS-2025-25214,Incident Post-Mortem Action,Incident Post-Mortem Action: Retry control process gap,Operational Resilience,Disaster Recovery
ISS-2025-96891,Incident Post-Mortem Action,Incident Post-Mortem Action: Automated integration feed gap,Fraud & Financial Crime,Internal Fraud
ISS-2025-74683,Incident Post-Mortem Action,Incident Post-Mortem Action: Onboarding onboarding feed gap,Data Quality  Integrity,General
ISS-2025-28358,Policy Exception,Policy Exception: Manual misconfiguration feed gap,AML Sanctions,General
ISS-2025-83413,Incident Post-Mortem Action,Incident Post-Mortem Action: Validation override process gap,Operational Resilience,BCP Gap
ISS-2025-97797,Risk Assessment Action,Risk Assessment Action: Breach customer feed gap,Technology Change,Config Drift
ISS-2025-36859,Regulatory Finding,Regulatory Finding: Payment alert control gap – Pilot,Data Quality  Integrity,General
ISS-2025-49486,Process Gap,Process Gap: Migration workflow control gap – Pilot,AML Sanctions,General
ISS-2025-10393,Regulatory Finding,Regulatory Finding: Control customer process gap,Cybersecurity,Ransomware
ISS-2025-66982,Incident Post-Mortem Action,Incident Post-Mortem Action: Reconciliation workflow control gap (Remediation),Cybersecurity,Data Breach
ISS-2025-73444,Audit Finding,Audit Finding: Payment queue report gap,Technology Change,Change Collision
ISS-2025-43895,Process Gap,Process Gap: Integration retry control gap,Fraud & Financial Crime,Account Takeover
